Wafer_ID,Stage_Name,Stage_Index,Reference_Image,Search_Image,Incremental_dX_nm,Incremental_dY_nm,Incremental_dTheta_deg,Cumulative_dX_nm,Cumulative_dY_nm,Cumulative_dTheta_deg,CD_Bias_nm,Overlay_Error_nm,Local_Pattern_Density,True_Center_X_px,True_Center_Y_px,Defocus_Sigma_px,Defect_Count,Drift_Magnitude_nm,Drift_Risk_Label
WF-010,02_Etch,2,000_golden_reference.png,WF-010_Stage2_02_Etch.png,-4.575,-1.389,0.0198,-8.915,1.318,0.029,-1.32,9.012,0.424,500.89,499.87,1.276,2,9.012,NORMAL
WF-010,03_CMP,3,000_golden_reference.png,WF-010_Stage3_03_CMP.png,0.638,2.316,-0.0152,-8.277,3.635,0.0138,-1.54,9.04,0.404,500.83,499.64,0.951,0,9.04,NORMAL
WF-010,04_Metal1,4,000_golden_reference.png,WF-010_Stage4_04_Metal1.png,-1.562,3.59,-0.0108,-9.839,7.224,0.003,-1.108,12.206,0.5,500.98,499.28,0.829,0,12.206,NORMAL
WF-011,01_Lithography,1,000_golden_reference.png,WF-011_Stage1_01_Lithography.png,4.884,-2.879,0.0162,4.884,-2.879,0.0162,0.0,5.67,0.5,499.51,500.29,0.268,1,5.67,NORMAL
WF-011,02_Etch,2,000_golden_reference.png,WF-011_Stage2_02_Etch.png,38.631,13.559,0.0443,43.516,10.68,0.0605,-1.335,44.807,0.417,495.65,498.93,0.75,0,44.807,WATCH
WF-011,03_CMP,3,000_golden_reference.png,WF-011_Stage3_03_CMP.png,23.142,14.911,0.0861,66.657,25.591,0.1466,-1.278,71.401,0.414,493.33,497.44,0.91,0,71.401,CRITICAL_DRIFT
WF-011,04_Metal1,4,000_golden_reference.png,WF-011_Stage4_04_Metal1.png,29.344,29.262,0.0784,96.001,54.852,0.2251,-0.864,110.567,0.5,490.4,494.51,0.897,0,110.567,CRITICAL_DRIFT
WF-012,01_Lithography,1,000_golden_reference.png,WF-012_Stage1_01_Lithography.png,0.483,0.624,-0.0013,0.483,0.624,-0.0013,0.0,0.789,0.5,499.95,499.94,0.541,0,0.789,NORMAL
WF-012,02_Etch,2,000_golden_reference.png,WF-012_Stage2_02_Etch.png,35.498,26.814,0.089,35.981,27.438,0.0877,-0.879,45.249,0.415,496.4,497.26,0.546,0,45.249,WATCH
WF-012,03_CMP,3,000_golden_reference.png,WF-012_Stage3_03_CMP.png,27.663,19.465,0.0817,63.644,46.903,0.1694,-1.08,79.06,0.413,493.64,495.31,0.649,0,79.06,CRITICAL_DRIFT
WF-012,04_Metal1,4,000_golden_reference.png,WF-012_Stage4_04_Metal1.png,22.565,21.869,0.0553,86.209,68.773,0.2247,-0.613,110.28,0.5,491.38,493.12,0.992,0,110.28,CRITICAL_DRIFT
WF-013,01_Lithography,1,000_golden_reference.png,WF-013_Stage1_01_Lithography.png,11.312,0.976,0.0145,11.312,0.976,0.0145,0.0,11.354,0.5,498.87,499.9,0.527,0,11.354,NORMAL
WF-013,02_Etch,2,000_golden_reference.png,WF-013_Stage2_02_Etch.png,3.107,-6.089,0.02,14.419,-5.113,0.0344,-1.469,15.299,0.407,498.56,500.51,0.731,0,15.299,NORMAL
WF-013,03_CMP,3,000_golden_reference.png,WF-013_Stage3_03_CMP.png,12.318,9.675,0.0139,26.737,4.562,0.0484,-1.736,27.123,0.408,497.33,499.54,0.864,0,27.123,NORMAL
WF-013,04_Metal1,4,000_golden_reference.png,WF-013_Stage4_04_Metal1.png,1.684,-3.153,-0.004,28.421,1.409,0.0444,-1.401,28.456,0.5,497.16,499.86,1.031,0,28.456,NORMAL
WF-014,01_Lithography,1,000_golden_reference.png,WF-014_Stage1_01_Lithography.png,12.677,-2.226,0.0114,12.677,-2.226,0.0114,0.0,12.871,0.5,498.73,500.22,0.223,0,12.871,NORMAL
WF-014,02_Etch,2,000_golden_reference.png,WF-014_Stage2_02_Etch.png,1.01,0.614,0.0183,13.687,-1.612,0.0297,-1.596,13.782,0.405,498.63,500.16,0.684,0,13.782,NORMAL
WF-014,03_CMP,3,000_golden_reference.png,WF-014_Stage3_03_CMP.png,3.227,5.931,-0.0138,16.914,4.319,0.0158,-1.759,17.457,0.41,498.31,499.57,0.441,1,17.457,NORMAL
WF-014,04_Metal1,4,000_golden_reference.png,WF-014_Stage4_04_Metal1.png,12.312,3.425,0.0017,29.225,7.744,0.0175,-1.01,30.234,0.5,497.08,499.23,0.76,0,30.234,NORMAL
WF-015,01_Lithography,1,000_golden_reference.png,WF-015_Stage1_01_Lithography.png,3.852,2.051,0.0141,3.852,2.051,0.0141,0.0,4.364,0.5,499.61,499.79,0.305,2,4.364,NORMAL
WF-015,02_Etch,2,000_golden_reference.png,WF-015_Stage2_02_Etch.png,21.778,33.137,0.0348,25.63,35.188,0.0489,-0.949,43.533,0.408,497.44,496.48,1.078,0,43.533,WATCH
WF-015,03_CMP,3,000_golden_reference.png,WF-015_Stage3_03_CMP.png,32.281,26.855,0.0441,57.911,62.043,0.093,-1.253,84.871,0.399,494.21,493.8,0.817,0,84.871,CRITICAL_DRIFT
WF-015,04_Metal1,4,000_golden_reference.png,WF-015_Stage4_04_Metal1.png,39.367,17.417,0.0657,97.278,79.46,0.1587,-0.581,125.606,0.5,490.27,492.05,0.758,0,125.606,CRITICAL_DRIFT
WF-016,01_Lithography,1,000_golden_reference.png,WF-016_Stage1_01_Lithography.png,3.841,2.41,0.0174,3.841,2.41,0.0174,0.0,4.534,0.5,499.62,499.76,0.963,0,4.534,NORMAL
WF-016,02_Etch,2,000_golden_reference.png,WF-016_Stage2_02_Etch.png,-4.506,5.891,-0.0105,-0.666,8.302,0.0069,-1.117,8.328,0.395,500.07,499.17,1.11,1,8.328,NORMAL
WF-016,03_CMP,3,000_golden_reference.png,WF-016_Stage3_03_CMP.png,5.777,-1.6,-0.0074,5.112,6.701,-0.0004,-0.915,8.428,0.41,499.49,499.33,0.658,0,8.428,NORMAL
WF-016,04_Metal1,4,000_golden_reference.png,WF-016_Stage4_04_Metal1.png,-7.404,1.249,0.0199,-2.292,7.951,0.0195,-0.017,8.275,0.5,500.23,499.2,1.161,1,8.275,NORMAL
WF-017,01_Lithography,1,000_golden_reference.png,WF-017_Stage1_01_Lithography.png,-4.311,-2.226,0.0173,-4.311,-2.226,0.0173,0.0,4.852,0.5,500.43,500.22,0.623,0,4.852,NORMAL
WF-017,02_Etch,2,000_golden_reference.png,WF-017_Stage2_02_Etch.png,39.141,31.344,0.0522,34.83,29.118,0.0695,-0.926,45.398,0.405,496.52,497.09,0.835,0,45.398,WATCH
WF-017,03_CMP,3,000_golden_reference.png,WF-017_Stage3_03_CMP.png,38.01,27.478,0.0667,72.84,56.595,0.1362,-0.536,92.243,0.408,492.72,494.34,0.98,0,92.243,CRITICAL_DRIFT
WF-017,04_Metal1,4,000_golden_reference.png,WF-017_Stage4_04_Metal1.png,33.695,12.172,0.079,106.535,68.768,0.2152,-0.057,126.802,0.5,489.35,493.12,1.086,0,126.802,CRITICAL_DRIFT
WF-018,01_Lithography,1,000_golden_reference.png,WF-018_Stage1_01_Lithography.png,11.656,-4.583,-0.0154,11.656,-4.583,-0.0154,0.0,12.525,0.5,498.83,500.46,0.262,2,12.525,NORMAL
WF-018,02_Etch,2,000_golden_reference.png,WF-018_Stage2_02_Etch.png,-6.645,2.958,-0.0091,5.011,-1.625,-0.0245,-1.284,5.268,0.406,499.5,500.16,0.882,1,5.268,NORMAL
WF-018,03_CMP,3,000_golden_reference.png,WF-018_Stage3_03_CMP.png,6.787,-3.335,0.0054,11.799,-4.96,-0.0191,-1.473,12.799,0.403,498.82,500.5,0.722,0,12.799,NORMAL
WF-018,04_Metal1,4,000_golden_reference.png,WF-018_Stage4_04_Metal1.png,1.748,9.296,0.0138,13.546,4.336,-0.0053,-1.117,14.223,0.5,498.65,499.57,1.184,0,14.223,NORMAL
WF-019,01_Lithography,1,000_golden_reference.png,WF-019_Stage1_01_Lithography.png,-2.913,-6.936,0.0108,-2.913,-6.936,0.0108,0.0,7.523,0.5,500.29,500.69,0.984,0,7.523,NORMAL
WF-019,02_Etch,2,000_golden_reference.png,WF-019_Stage2_02_Etch.png,5.016,-2.285,0.0096,2.103,-9.221,0.0205,-1.241,9.458,0.413,499.79,500.92,0.975,1,9.458,NORMAL
WF-019,03_CMP,3,000_golden_reference.png,WF-019_Stage3_03_CMP.png,0.409,-6.826,-0.017,2.513,-16.047,0.0035,-0.935,16.242,0.404,499.75,501.6,0.626,2,16.242,NORMAL
WF-019,04_Metal1,4,000_golden_reference.png,WF-019_Stage4_04_Metal1.png,10.886,2.821,0.0134,13.399,-13.226,0.0169,-0.285,18.827,0.5,498.66,501.32,1.032,0,18.827,NORMAL
WF-020,01_Lithography,1,000_golden_reference.png,WF-020_Stage1_01_Lithography.png,-6.196,-1.451,0.016,-6.196,-1.451,0.016,0.0,6.364,0.5,500.62,500.15,0.747,0,6.364,NORMAL
WF-020,02_Etch,2,000_golden_reference.png,WF-020_Stage2_02_Etch.png,37.107,30.935,0.0839,30.911,29.484,0.0999,-0.968,42.718,0.41,496.91,497.05,0.406,0,42.718,WATCH
WF-020,03_CMP,3,000_golden_reference.png,WF-020_Stage3_03_CMP.png,23.989,14.261,0.0768,54.899,43.746,0.1767,-0.661,70.197,0.408,494.51,495.63,0.586,0,70.197,CRITICAL_DRIFT
WF-020,04_Metal1,4,000_golden_reference.png,WF-020_Stage4_04_Metal1.png,27.753,25.655,0.0393,82.653,69.4,0.216,0.197,107.925,0.5,491.73,493.06,0.845,0,107.925,CRITICAL_DRIFT
WF-021,01_Lithography,1,000_golden_reference.png,WF-021_Stage1_01_Lithography.png,12.477,7.594,0.0153,12.477,7.594,0.0153,0.0,14.606,0.5,498.75,499.24,0.388,0,14.606,NORMAL
WF-021,02_Etch,2,000_golden_reference.png,WF-021_Stage2_02_Etch.png,-8.455,6.258,-0.0067,4.022,13.852,0.0085,-1.545,14.424,0.406,499.6,498.61,0.817,0,14.424,NORMAL
WF-021,03_CMP,3,000_golden_reference.png,WF-021_Stage3_03_CMP.png,8.649,8.553,0.0124,12.671,22.405,0.021,-1.731,25.74,0.405,498.73,497.76,0.769,0,25.74,NORMAL
WF-021,04_Metal1,4,000_golden_reference.png,WF-021_Stage4_04_Metal1.png,8.322,-5.054,0.0149,20.993,17.351,0.0359,-0.916,27.235,0.5,497.9,498.26,1.504,0,27.235,NORMAL
WF-022,01_Lithography,1,000_golden_reference.png,WF-022_Stage1_01_Lithography.png,8.965,1.285,-0.0078,8.965,1.285,-0.0078,0.0,9.057,0.5,499.1,499.87,0.503,0,9.057,NORMAL
WF-022,02_Etch,2,000_golden_reference.png,WF-022_Stage2_02_Etch.png,8.498,-2.903,-0.0191,17.463,-1.618,-0.0268,-0.955,17.537,0.408,498.25,500.16,0.836,0,17.537,NORMAL
WF-022,03_CMP,3,000_golden_reference.png,WF-022_Stage3_03_CMP.png,-1.778,8.558,0.0187,15.684,6.941,-0.0082,-1.131,17.151,0.415,498.43,499.31,1.023,0,17.151,NORMAL
WF-022,04_Metal1,4,000_golden_reference.png,WF-022_Stage4_04_Metal1.png,5.113,0.194,0.0192,20.797,7.135,0.0111,-0.509,21.987,0.5,497.92,499.29,1.475,0,21.987,NORMAL
WF-023,01_Lithography,1,000_golden_reference.png,WF-023_Stage1_01_Lithography.png,-6.462,10.467,-0.0129,-6.462,10.467,-0.0129,0.0,12.301,0.5,500.65,498.95,0.774,0,12.301,NORMAL
WF-023,02_Etch,2,000_golden_reference.png,WF-023_Stage2_02_Etch.png,12.176,-2.222,-0.0157,5.713,8.246,-0.0285,-1.148,10.032,0.408,499.43,499.18,0.454,0,10.032,NORMAL
WF-023,03_CMP,3,000_golden_reference.png,WF-023_Stage3_03_CMP.png,7.028,-1.354,0.0042,12.741,6.892,-0.0243,-1.139,14.486,0.407,498.73,499.31,0.61,0,14.486,NORMAL
WF-023,04_Metal1,4,000_golden_reference.png,WF-023_Stage4_04_Metal1.png,-0.526,3.379,-0.0098,12.216,10.27,-0.0341,-0.413,15.959,0.5,498.78,498.97,1.165,0,15.959,NORMAL
WF-024,01_Lithography,1,000_golden_reference.png,WF-024_Stage1_01_Lithography.png,11.363,2.692,0.0088,11.363,2.692,0.0088,0.0,11.677,0.5,498.86,499.73,0.378,0,11.677,NORMAL
WF-024,02_Etch,2,000_golden_reference.png,WF-024_Stage2_02_Etch.png,35.807,26.754,0.0519,47.169,29.446,0.0606,-0.856,55.606,0.408,495.28,497.06,0.12,0,55.606,WATCH
WF-024,03_CMP,3,000_golden_reference.png,WF-024_Stage3_03_CMP.png,33.942,19.264,0.0488,81.111,48.71,0.1095,-0.578,94.614,0.41,491.89,495.13,0.39,0,94.614,CRITICAL_DRIFT
WF-024,04_Metal1,4,000_golden_reference.png,WF-024_Stage4_04_Metal1.png,35.274,18.607,0.0486,116.385,67.317,0.158,-0.033,134.451,0.5,488.36,493.27,0.784,2,134.451,CRITICAL_DRIFT
WF-025,01_Lithography,1,000_golden_reference.png,WF-025_Stage1_01_Lithography.png,-2.496,-4.709,-0.0032,-2.496,-4.709,-0.0032,0.0,5.329,0.5,500.25,500.47,0.815,2,5.329,NORMAL
WF-025,02_Etch,2,000_golden_reference.png,WF-025_Stage2_02_Etch.png,11.688,5.192,0.0161,9.192,0.483,0.0129,-1.292,9.205,0.406,499.08,499.95,0.623,2,9.205,NORMAL
WF-025,03_CMP,3,000_golden_reference.png,WF-025_Stage3_03_CMP.png,-2.379,2.863,-0.02,6.813,3.346,-0.0071,-1.463,7.59,0.412,499.32,499.67,0.781,0,7.59,NORMAL
WF-025,04_Metal1,4,000_golden_reference.png,WF-025_Stage4_04_Metal1.png,0.458,3.44,0.0062,7.271,6.785,-0.0009,-0.884,9.945,0.5,499.27,499.32,0.811,0,9.945,NORMAL
WF-026,01_Lithography,1,000_golden_reference.png,WF-026_Stage1_01_Lithography.png,-4.299,1.517,0.016,-4.299,1.517,0.016,0.0,4.559,0.5,500.43,499.85,0.326,2,4.559,NORMAL
WF-026,02_Etch,2,000_golden_reference.png,WF-026_Stage2_02_Etch.png,8.513,-3.946,-0.0166,4.214,-2.428,-0.0006,-1.212,4.864,0.406,499.58,500.24,0.642,0,4.864,NORMAL
WF-026,03_CMP,3,000_golden_reference.png,WF-026_Stage3_03_CMP.png,4.925,-0.967,0.0127,9.139,-3.395,0.0122,-1.011,9.749,0.402,499.09,500.34,1.447,0,9.749,NORMAL
WF-026,04_Metal1,4,000_golden_reference.png,WF-026_Stage4_04_Metal1.png,5.802,-2.956,-0.012,14.94,-6.351,0.0001,-0.697,16.234,0.5,498.51,500.64,0.62,0,16.234,NORMAL
WF-027,01_Lithography,1,000_golden_reference.png,WF-027_Stage1_01_Lithography.png,1.453,8.295,-0.0171,1.453,8.295,-0.0171,0.0,8.422,0.5,499.85,499.17,0.538,0,8.422,NORMAL
WF-027,02_Etch,2,000_golden_reference.png,WF-027_Stage2_02_Etch.png,0.118,4.336,-0.0122,1.571,12.631,-0.0293,-1.357,12.728,0.406,499.84,498.74,0.568,0,12.728,NORMAL
WF-027,03_CMP,3,000_golden_reference.png,WF-027_Stage3_03_CMP.png,1.876,-2.608,0.0062,3.447,10.023,-0.0231,-1.753,10.599,0.412,499.66,499.0,0.904,1,10.599,NORMAL
WF-027,04_Metal1,4,000_golden_reference.png,WF-027_Stage4_04_Metal1.png,7.521,6.861,-0.0157,10.968,16.884,-0.0388,-1.198,20.134,0.5,498.9,498.31,1.177,2,20.134,NORMAL
WF-028,01_Lithography,1,000_golden_reference.png,WF-028_Stage1_01_Lithography.png,12.075,2.323,-0.018,12.075,2.323,-0.018,0.0,12.297,0.5,498.79,499.77,0.443,1,12.297,NORMAL
WF-028,02_Etch,2,000_golden_reference.png,WF-028_Stage2_02_Etch.png,23.981,30.663,0.0574,36.056,32.987,0.0394,-1.441,48.869,0.412,496.39,496.7,0.551,1,48.869,WATCH
WF-028,03_CMP,3,000_golden_reference.png,WF-028_Stage3_03_CMP.png,34.022,33.734,0.0657,70.078,66.72,0.1051,-1.081,96.76,0.418,492.99,493.33,1.307,0,96.76,CRITICAL_DRIFT
WF-028,04_Metal1,4,000_golden_reference.png,WF-028_Stage4_04_Metal1.png,39.394,25.478,0.0732,109.472,92.199,0.1783,-0.478,143.125,0.5,489.05,490.78,0.739,2,143.125,CRITICAL_DRIFT
WF-029,01_Lithography,1,000_golden_reference.png,WF-029_Stage1_01_Lithography.png,3.053,9.15,0.0097,3.053,9.15,0.0097,0.0,9.646,0.5,499.69,499.09,0.588,0,9.646,NORMAL
WF-029,02_Etch,2,000_golden_reference.png,WF-029_Stage2_02_Etch.png,1.443,-2.335,-0.0101,4.496,6.815,-0.0004,-1.31,8.165,0.412,499.55,499.32,0.463,0,8.165,NORMAL
WF-029,03_CMP,3,000_golden_reference.png,WF-029_Stage3_03_CMP.png,7.848,2.383,0.0051,12.344,9.199,0.0047,-1.49,15.394,0.4,498.77,499.08,0.405,0,15.394,NORMAL
WF-029,04_Metal1,4,000_golden_reference.png,WF-029_Stage4_04_Metal1.png,-7.295,-1.857,-0.0091,5.049,7.342,-0.0044,-0.999,8.91,0.5,499.5,499.27,0.758,0,8.91,NORMAL
WF-030,01_Lithography,1,000_golden_reference.png,WF-030_Stage1_01_Lithography.png,-5.956,-2.837,0.0078,-5.956,-2.837,0.0078,0.0,6.597,0.5,500.6,500.28,0.525,0,6.597,NORMAL
WF-030,02_Etch,2,000_golden_reference.png,WF-030_Stage2_02_Etch.png,6.541,-5.844,-0.0037,0.585,-8.681,0.0041,-1.234,8.701,0.424,499.94,500.87,0.695,0,8.701,NORMAL
WF-030,03_CMP,3,000_golden_reference.png,WF-030_Stage3_03_CMP.png,0.147,-3.277,-0.0032,0.732,-11.958,0.0009,-0.91,11.981,0.411,499.93,501.2,0.597,0,11.981,NORMAL
WF-030,04_Metal1,4,000_golden_reference.png,WF-030_Stage4_04_Metal1.png,3.85,5.519,0.0143,4.582,-6.439,0.0151,-0.151,7.903,0.5,499.54,500.64,0.833,0,7.903,NORMAL
WF-031,01_Lithography,1,000_golden_reference.png,WF-031_Stage1_01_Lithography.png,-8.87,-0.668,0.0101,-8.87,-0.668,0.0101,0.0,8.895,0.5,500.89,500.07,0.509,0,8.895,NORMAL
WF-031,02_Etch,2,000_golden_reference.png,WF-031_Stage2_02_Etch.png,9.776,10.162,-0.0032,0.906,9.493,0.0069,-1.398,9.536,0.41,499.91,499.05,0.912,0,9.536,NORMAL
WF-031,03_CMP,3,000_golden_reference.png,WF-031_Stage3_03_CMP.png,3.015,3.859,-0.0112,3.92,13.352,-0.0043,-1.622,13.916,0.409,499.61,498.66,1.0,1,13.916,NORMAL
WF-031,04_Metal1,4,000_golden_reference.png,WF-031_Stage4_04_Metal1.png,0.588,-6.478,-0.0066,4.509,6.874,-0.0108,-0.915,8.221,0.5,499.55,499.31,1.172,0,8.221,NORMAL
WF-032,01_Lithography,1,000_golden_reference.png,WF-032_Stage1_01_Lithography.png,-5.369,1.413,-0.0149,-5.369,1.413,-0.0149,0.0,5.552,0.5,500.54,499.86,0.073,2,5.552,NORMAL
WF-032,02_Etch,2,000_golden_reference.png,WF-032_Stage2_02_Etch.png,4.69,-6.515,-0.0042,-0.679,-5.102,-0.0191,-1.252,5.147,0.395,500.07,500.51,0.609,0,5.147,NORMAL
